Generation	Route	Itteration	Cost
0	1	20709	16927695064.0
0	2	21825	21518073053.0
0	3	19797	17509967348.0
0	4	17650	14699244557.0
0	5	20547	16556205276.0
0	6	17709	12377135995.0
0	7	20990	19719261701.0
0	8	18657	15368023608.0
0	9	19201	15876514478.0
0	10	18801	13698951486.0
1	1	19996	16029291399.0
1	2	18553	16212147210.0
1	3	17480	14748935479.0
1	4	20239	17675614652.0
1	5	19963	18005058927.0
1	6	19108	17161009262.0
1	7	17728	18189795046.0
1	8	19886	14182192099.0
1	9	23080	20300126014.0
1	10	18565	15076803843.0
1	8		14182192099.0
2	1	17743	18320716905.0
2	2	69241	31521421840.0
2	3	18322	19845110458.0
2	4	20397	16229080451.0
2	5	207724	85858236023.0
2	6	18298	13877615994.0
2	7	19009	14528552419.0
2	8	19961	14010003279.0
2	9	17502	18149164996.0
2	10	18643	15632283500.0
2	6		13877615994.0
3	1	18239	14491454655.0
3	2	18874	14287833654.0
3	3	18042	15024814759.0
3	4	21780	15753747881.0
3	5	17641	13247903799.0
3	6	18124	15793894908.0
3	7	18844	17260917281.0
3	8	17692	15729317507.0
3	9	19987	15371841082.0
3	10	19793	18211618074.0
3	5		13247903799.0
4	1	17913	12514519767.0
4	2	18871	15120861887.0
4	3	16334	14440005045.0
4	4	19458	18031420973.0
4	5	19987	15371841082.0
4	6	16785	13174137183.0
4	7	17628	18420228486.0
4	8	16451	15938403831.0
4	9	17845	19832282131.0
4	10	20720	18021720981.0
4	1		12514519767.0
5	1	17913	12514519767.0
5	2	19217	15498259984.0
5	3	19984	13853546510.0
5	4	18075	12603589508.0
5	5	20812	22429537562.0
5	6	17650	17925925439.0
5	7	21739	17370505678.0
5	8	20107	17426699354.0
5	9	17969	13594325416.0
5	10	19157	15298854230.0
5	1		12514519767.0
